event_id,timestamp,event_type,severity,source_ip,destination_device,status,location
1,2025-01-23 11:34:00,Failed Login,Low,251.96.130.36,Device-37,Blocked,Egypt
2,2025-02-18 15:12:00,Phishing Attempt,Low,146.84.59.79,Device-43,Successful,Egypt
3,2025-02-09 10:03:00,Failed Login,Critical,186.190.161.111,Device-38,Successful,Germany
4,2025-02-18 11:13:00,Malware,Low,232.176.159.46,Device-34,Successful,USA
5,2025-01-29 03:12:00,Brute Force,Medium,222.138.38.205,Device-20,Failed,UAE
6,2025-02-14 03:37:00,Firewall Block,Medium,231.240.237.31,Device-33,Allowed,KSA
7,2025-02-10 01:05:00,Port Scan,Low,183.221.184.204,Device-13,Failed,Unknown
8,2025-01-01 11:11:00,Brute Force,Low,151.231.172.247,Device-23,Allowed,USA
9,2025-01-15 12:56:00,Phishing Attempt,High,166.74.199.225,Device-3,Allowed,Egypt
10,2025-01-24 11:25:00,Failed Login,Low,193.78.163.206,Device-38,Successful,USA
11,2025-02-18 07:42:00,Malware,Medium,196.213.122.70,Device-36,Successful,UAE
12,2025-02-23 14:38:00,Brute Force,Medium,156.171.127.42,Device-25,Failed,USA
13,2025-01-13 21:49:00,Failed Login,High,139.17.88.101,Device-27,Blocked,Germany
14,2025-01-21 20:42:00,Malware,Low,215.73.75.94,Device-29,Successful,UAE
15,2025-02-10 00:17:00,Failed Login,Medium,186.106.222.91,Device-4,Blocked,Germany
16,2025-02-06 00:00:00,Malware,Low,42.12.74.55,Device-33,Successful,Unknown
17,2025-01-28 03:09:00,Port Scan,Low,136.89.201.97,Device-1,Failed,USA
18,2025-03-01 21:15:00,Brute Force,High,122.112.97.85,Device-11,Failed,KSA
19,2025-01-07 20:24:00,Malware,Medium,209.223.120.123,Device-13,Blocked,Egypt
20,2025-01-18 18:18:00,Failed Login,Medium,217.22.14.93,Device-3,Failed,Egypt
21,2025-01-16 00:34:00,Failed Login,Low,113.215.131.58,Device-11,Allowed,UAE
22,2025-01-23 09:31:00,Brute Force,Medium,104.127.90.239,Device-25,Failed,Unknown
23,2025-01-21 04:31:00,Failed Login,High,97.32.66.225,Device-22,Failed,Germany
24,2025-02-28 03:29:00,Malware,High,9.203.2.211,Device-14,Successful,Egypt
